#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description
#,UNIX AND UNIX-LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HI-UX [Hitachi],#8B0000,HP-UX [HP],1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,IRIS GL2 [SGI],#FF8585,UNIX System III [AT&T],1983,1987.12,,,IRIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,IRIX [SGI],#FF8585,IRIS GL2 [SGI],1986,2006.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Trusted IRIX/B [SGI],#FF8585,IRIX [SGI],1995.2,1996.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unicos/mp [Cray],#FF8585,IRIX [SGI],2002.8,2006.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AIX [IBM],#8B0000,UNIX System III [AT&T],1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,VIOS,#8B0000,AIX [IBM],2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Monterey,#FF8585,AIX [IBM],1999.1,2001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UTS [Amdahl],#FF8585,UNIX System III [AT&T],1981.5,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UTS/M [Fujitsu],#FF8585,UTS [Amdahl],1985.4,1990.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SPIX [Bull Computers],#FF8585,UNIX System III [AT&T],1982,1989.12,,,BOS,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MP-RAS Unix [NCR],#FF8585,UNIX System III [AT&T],1982,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DC/OSx [Pyramid],#FF8585,UNIX System III [AT&T],1983.6,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CXOs [Cray],#FF8585,UNIX System III [AT&T],1984,2003.5,,,Unicos,1986.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unicos/mk [Cray],#FF8585,CXOs [Cray],1996.11,2002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unicos MAX [Cray],#FF8585,CXOs [Cray],1993.11,1995.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RISC/OS [MIPS],#FF8585,UNIX System III [AT&T],1985,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,V/386,#FF8585,UNIX System III [AT&T],1985,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DG/UX [Data General],#FF8585,UNIX System III [AT&T],1985.3,2001.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Microport Unix,#FF8585,UNIX System III [AT&T],1985.9,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,WEGA [East Germany],#FF8585,UNIX System III [AT&T],1986,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,TI System V [Texas Instruments],#FF8585,UNIX System III [AT&T],1986,1992.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CTIX [Convergent],#FF8585,UNIX System III [AT&T],1987,1989.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NonStop-UX [HP],#FF8585,UNIX System III [AT&T],1987.4,2004.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RISC Unix [Acorn],#FF8585,UNIX System III [AT&T],1988,1988.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,A/UX [Apple],#FF8585,UNIX System III [AT&T],1988.2,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SUPER-UX [NEC],#FF8585,UNIX System III [AT&T],1989,2014.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Dell Unix [Dell],#FF8585,UNIX System III [AT&T],1989,1993.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,COSIX [CS&S],#FF8585,UNIX System III [AT&T],1989,1999.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Eurix/Generics Unix [Generics],#FF8585,UNIX System III [AT&T],1989,1991.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Atari Unix [Atari],#FF8585,UNIX System III [AT&T],1989,1992.8,,,ASV,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Amiga Unix [Amiga],#FF8585,UNIX System III [AT&T],1990,1991.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UXP/DS [Fujitsu],#FF8585,UNIX System III [AT&T],1991,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unix/NS [NCR],#FF8585,UNIX System III [AT&T],1992,1993.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Solaris [Sun],#8B0000,UNIX System III [AT&T],1992.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Trusted Solaris [Sun],#FF8585,Solaris [Sun],1998.9,2000.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OpenSolaris,#FF8585,Solaris [Sun],2008.5,2010.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Illumos,#8B0000,OpenSolaris,2010.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SmartOS,#8B0000,Illumos,2010.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OpenIndiana,#8B0000,Illumos,2010.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unleashed,#FF8585,Illumos,2018.6,2020.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,BSD,#FF8585,UNICS [AT&T/Bell Labs],1977.12,2008.12.31,,,2BSD,1978.6,,2.11BSD,1992.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RetroBSD,#8B0000,BSD,2008.12.31,,,,DiscoBSD,2020.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,3BSD,#FF8585,BSD,1979.12,2004.2.4,,,4BSD,1980.10,,4.3BSD,1986.6,,4.3BSD Quasijarus,1998.12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,4.4BSD,#FF8585,3BSD,1992.7.7,1995.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,BSD Net/2,#FF8585,3BSD,1990.11,1994.11.12,,,386BSD,1992.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,BSD/OS,#FF8585,BSD,1995.1,2003.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,News-OS [Sony],#FF8585,3BSD,1987,1993.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,more/BSD [mt Xinu],#FF8585,3BSD,1983.7,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HPBSD [HP],#FF8585,3BSD,1988.4,1993.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HEP-UPX [Denelcor],#FF8585,3BSD,1984,1985.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AOS [IBM],#FF8585,3BSD,1988,1995.12,,,AOS Reno,1992,,AOS Lite,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,BSD Net/1 [Acorn],#FF8585,3BSD,1988,1991,,,RISC iX,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ConvexOS [Convex],#FF8585,3BSD,1985,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Dynix [Sequent Computer Systems],#FF8585,3BSD,1984,2001.10,,,Dynix/ptx,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SunOS [Sun],#FF8585,3BSD,1982,1994.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OS/MP [Solbourne],#FF8585,SunOS [Sun],1991,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,FreeBSD,#8B0000,BSD Net/2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HardenedBSD,#8B0000,FreeBSD,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JunOS [Juniper],#8B0000,FreeBSD,1998.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,PC-BSD [iXsystems],#FF8585,FreeBSD,2006.4,2018.12,,,TrueOS,2016.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GhostBSD,#8B0000,PC-BSD [iXsystems],2010.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CellOS [Sony Playstation 3],#8B0000,FreeBSD,2006.11,,,,OrbisOS [Sony Playstation 4],2013.11,,PlayStation 5 system software,2020.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MidnightBSD,#8B0000,FreeBSD,2007.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,helloSystem,#8B0000,FreeBSD,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,airyxOS,#8B0000,helloSystem,2021,,,,rayvnOS,2022.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DragonFlyBSD,#8B0000,FreeBSD,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NetBSD,#8B0000,BSD Net/2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,OpenBSD,#8B0000,NetBSD,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Concentrix [Alliant],#FF8585,3BSD,1984,1992.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Real Time UNIX [Concurrent],#FF8585,3BSD,1988,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MAXION/OS [Concurrent],#FF8585,Real Time UNIX [Concurrent],1992,1996.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UTX/32(S) [Gould],#FF8585,3BSD,1984,1989.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Genix [National Semiconductor],#FF8585,3BSD,1982.1,1989.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NDIX [Norsk Data],#FF8585,3BSD,1985,1987.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UTEK [Tektronix],#FF8585,3BSD,1984,1990.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UMAX 4.3 [Encore],#FF8585,3BSD,1986.10,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RT PC AOS [IBM],#FF8585,3BSD,1986,1991.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Mach (kernel),#FF8585,BSD,1984.6,1996.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,xMach,#FF8585,Mach (kernel),1996.12,2001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HeliOS [Perihelion],#FF8585,Mach (kernel),1988,1998.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MachTen [Tenon],#FF8585,Mach (kernel),1991,2013.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Mach386 [mt Xinu],#FF8585,Mach (kernel),1992.3,1995.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MacMach,#FF8585,Mach (kernel),1992.4,1994.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Lites,#FF8585,Mach (kernel),1994.3,1997.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
